region,year,scenario,cs_weighted,cs_nocomm,cs_welfare_nav,cs_welfare_obj,obj_prem,obj_eoop,obj_risk,obj_insured,share_unins,unins_oop,unins_mort,unins_cat,producer_surplus,gov_subsidy,gov_csr,gov_penalty,gov_uc_raw,rs_unins,gov_uc,gov_total
1,2014,aligned,3789.624226633914,3686.582225824523,172.56269230505555,-5064.493804015113,-1044.0453263084412,-1228.9972063203863,-2791.451271386286,-2299.4400399004885,0.2978660216951055,157.13805640385624,0.0011476535392519775,0.018382504260997187,892.4109423755258,2499.780484496158,192.65747561570348,50.06187281140691,629.7148133354298,1.552010380584237,629.6324138184066,3272.008501118861
1,2014,baseline,3782.4572837144547,3677.844241815589,170.94140502216743,-5069.743539762829,-1057.5990681739524,-1226.5863484783094,-2785.558123110567,-2311.143154623138,0.2975193481578006,156.88318583672944,0.001144699756268427,0.018360308198090394,895.404464391012,2491.2517034827524,188.9496259450724,49.98885210494319,628.9819151666827,1.5522134910070304,628.9819151666827,3259.194392489564
1,2014,defund_0.50,3791.8314027820047,3650.345687631594,170.50899287268584,-5076.195038318756,-1060.2337081990697,-1227.2457454940682,-2788.7155846256182,-2314.5033884825302,0.2981354449902587,157.0663988994201,0.0011456575297954816,0.018425841471670538,887.6738146022817,2488.427934602222,186.97362386095585,49.98964473573098,630.2843977380081,1.552628297525056,630.4528320918558,3255.8647458193027
1,2014,endog_tau0.50,3763.004347193461,3708.096027013149,169.4888423117704,-5089.468247673275,-1063.589901657012,-1225.4205412389704,-2800.457804777293,-2314.235472017907,0.298674449828042,157.6731988632777,0.0011522362029368902,0.018402744992262916,878.8711331269508,2453.608803800431,191.23712547404125,50.32109376179267,631.4239010921671,1.5517593382349546,631.2391565858879,3225.763992098567
1,2014,flat_mandate,3785.3878681014894,3678.0194125913863,171.10605008426234,-5071.5528750558715,-1057.252832435013,-1228.5797469904078,-2785.7202956304504,-2313.4745090084193,0.29713433240506654,156.70168152336035,0.0011447151121598495,0.018347325805921896,896.435801692027,2492.176465138935,188.9779153013411,49.9358307071613,628.1679582021239,1.5523669875275823,628.2300769741,3259.4486267072148
1,2014,scale_0.50,3743.784235534021,3670.889095686219,169.40153379499955,-5116.276811050919,-1057.4940058071636,-1220.3721794721266,-2838.410625771628,-2299.9177997664938,0.3035104147785733,160.0840660441976,0.0011688754366319485,0.018727383457131982,892.2777669528823,2466.604660979313,188.04202726817377,50.94413119208737,641.6475538229834,1.552224299954201,641.6520219805864,3245.354579035986
1,2014,uniform_low,3746.247642835155,3674.9343546667224,169.97693393966753,-5109.5547281401805,-1057.2720877601528,-1217.909572166966,-2834.3730682130617,-2297.2528854499014,0.30253152234993846,159.6448486804777,0.0011676279629685429,0.018670026475243084,886.291061598307,2465.5850975228063,188.39772286695015,50.81595019186183,639.5780896408476,1.5521103980477455,639.5356109493938,3242.7024811472884
1,2014,uniform_low_k0.75,3730.9430688710545,3674.9343546667224,169.7088468997196,-5124.228793869156,-1054.0012774962881,-1215.6624565702127,-2854.5650598026546,-2289.9311564830814,0.30472962572754175,160.84428010267197,0.0011769135961432599,0.018801582872433165,885.7699791413352,2457.950437874266,187.99551502338102,51.17072249872005,644.225072368996,1.552028155376281,644.1481513392382,3238.923381738165
1,2014,uniform_low_k1.25,3759.8264829698464,3674.9343546667224,170.21152396678988,-5096.658391360009,-1060.1506007732223,-1219.8870451230375,-2816.6207454637483,-2303.6955537265612,0.3005977127028472,158.59001462509448,0.001159465182467823,0.018554214675681836,886.5008964893696,2472.297597256337,188.75087767008225,50.503692278816374,635.4898469671302,1.5521862057193248,635.4786761305095,3246.023458778113
1,2014,zero_tau0.00,3444.4782531079795,3444.4782531079795,161.80653728891542,-5456.165023906585,-987.3177479850887,-1186.0806824617325,-3282.766593459763,-2160.144432526182,0.3507247355052501,185.7596614976568,0.0013717568127815528,0.021613218526793702,876.2985079616365,2375.9528782384077,174.09142619524485,58.423364633867784,741.4627559529914,1.5515557121256556,741.1485475370631,3232.7694873368478
